id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
20001579,RESTAURANTE OBOI PARRILLA,Abierta,Acera,2,ARGANZUELA,ACACIAS
10002055,STARBUCKS,Abierta,Acera,1,CENTRO,UNIVERSIDAD
270326855,HOTEL CATALONIA GRAN VIA Y RTE. LA PEDRERA,Abierta,Acera,1,CENTRO,CORTES
280010269,STRAWBERRY FIELDS,Abierta,Acera,1,CENTRO,UNIVERSIDAD
270541855,CAFE DUQUE DE ALBA,Abierta,Plaza peatonal,1,CENTRO,EMBAJADORES
10001171,R?TULO NO INFORMADO,Abierta,Calle peatonal,1,CENTRO,SOL
285002828,ESPA?A CA?I,Abierta,Acera,1,CENTRO,CORTES
280048929,FOREMAN,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL GOLOSO
270131085,CAFETERIA FRANCIS,Abierta,Acera,8,FUENCARRAL-EL PARDO,LA PAZ
270276182,VILLA VERIN,Abierta,Acera,1,CENTRO,UNIVERSIDAD
280010952,EL RINCON,Abierta,Acera,1,CENTRO,UNIVERSIDAD
285003498,TABERNA LA LIRIO,Abierta,Acera,1,CENTRO,UNIVERSIDAD
270209319,RODILLA,Abierta,Plaza peatonal,1,CENTRO,EMBAJADORES
280011316,ABADIA,Abierta,Acera,1,CENTRO,SOL
280008601,LA ESTRECHA DE LAVAPIES,Abierta,Acera,1,CENTRO,EMBAJADORES
270269786,CAFETERIA VERDOY,Abierta,Plaza peatonal,1,CENTRO,JUSTICIA
280010036,LA CHUEQUITA,Abierta,Plaza peatonal,1,CENTRO,JUSTICIA
285003993,EL BOQUERON,Abierta,Acera,1,CENTRO,SOL
270043475,LAS BRAVAS,Abierta,Acera,1,CENTRO,CORTES
270050152,MUSEO DEL JAMON,Abierta,Acera,1,CENTRO,UNIVERSIDAD
10002857,FRIDAYS,Abierta,Acera,1,CENTRO,UNIVERSIDAD
10002742,HOTEL SENATOR ESPA?A,Abierta,Acera,1,CENTRO,UNIVERSIDAD
270477398,TABERNA LA MANCHA EN MADRID,Abierta,Acera,1,CENTRO,EMBAJADORES
270042846,CAFE BAR RODA,Abierta,Acera,1,CENTRO,CORTES
270532513,PERICO,Abierta,Plaza peatonal,1,CENTRO,CORTES
